#{"t_start": 1701078767.9973032, "env_id": "None"}
r,l,t
0.20088,154,741.033323
0.181938,378,748.059175
0.534614,186,751.626656
0.004336,118,754.047418
0.005963,128,756.726318
0.005651,126,759.281998
0.008583,201,763.224243
1.005071,574,774.181993
0.007022,148,777.182264
0.006013,284,782.5931
0.003302,100,784.794635
0.070122,168,788.032894
0.054176,139,790.838584
0.006536,108,793.125374
0.003231,336,799.670744
0.006544,121,802.529552
0.007143,134,805.271744
0.003011,291,810.642849
0.005684,126,813.257013
0.007534,190,816.904437
0.008825,148,819.790989
0.000747,92,821.745442
0.006551,127,824.359234
0.007074,168,827.651681
0.008607,199,831.46383
0.004918,189,835.103704
0.002159,189,838.743844
0.017617,206,843.020537
0.000321,196,847.249315
0.00228,144,850.439761
0.000637,213,854.98002
0.003268,193,859.402448
0.005895,672,872.657895
0.005553,371,879.86935
0.000195,196,883.656931
0.0,195,887.522038
0.002424,355,894.968071
0.000526,198,899.249106
0.002538,421,907.500943
0.002898,200,911.54917
0.0,362,918.621749
0.036341,387,926.716489
0.00113,364,934.077526
0.0,146,937.225069
0.000846,410,944.973678
0.0007,340,951.608413
0.0,214,955.986127
0.0,460,964.960354
0.0,222,969.538661
0.334499,328,976.028603
0.000194,144,979.069468
0.000587,153,982.305738
0.573015,170,985.932986
0.0,186,989.685869
0.0,59,991.095979
0.001684,226,995.529625
0.05394,279,1000.957825
0.0,132,1003.812351
0.0,279,1009.334994
1.053516,556,1019.891687
0.462154,242,1024.806569
0.0,274,1030.293977
1.880048,551,1040.979824
0.056427,197,1044.958899
4e-05,218,1049.323099
2.067361,396,1057.138197
0.0,216,1061.704767
0.673613,329,1068.435857
0.445364,221,1072.847341
0.936721,148,1075.878008
0.790789,182,1079.582907
0.0,122,1082.217342
0.0,95,1084.371186
0.256448,610,1096.146382
0.290248,464,1105.2346
0.164573,306,1111.235759
0.002296,407,1119.159697
0.000932,478,1128.745946
0.332892,400,1136.711521
0.019202,254,1141.870347
0.004264,107,1144.313256
0.001798,246,1149.271805
1.822096,443,1157.916294
0.105293,391,1165.545676
2.634967,285,1171.296188
0.13284,346,1178.259771
0.001319,377,1185.530725
0.083299,500,1195.334699
0.049829,344,1202.028079
1.172088,197,1206.122623
1.326252,305,1212.130035
0.638759,546,1222.674614
0.002932,242,1227.704212
2.300221,435,1236.100418
0.998832,186,1239.948313
0.948264,189,1243.841741
0.004108,281,1249.38008
1.082684,136,1252.226799
0.004807,308,1258.149133
2.154291,464,1267.370285
0.422176,257,1272.612083
0.619621,255,1277.661813
0.076974,507,1287.353852
0.008436,147,1290.468314
0.667385,142,1293.537635
1.663518,447,1302.318146
0.282411,226,1306.95636
0.206984,352,1313.991752
0.715372,496,1323.478146
0.005368,318,1329.792638
2.36903,285,1335.583214
0.020602,907,1352.808337
0.006341,217,1357.300796
2.286483,277,1362.819985
0.31456,231,1367.608261
0.788747,271,1373.156741
0.412026,140,1376.112843
0.009969,135,1379.054654
0.023266,363,1386.173234
0.888395,674,1398.963069
1.133122,139,1402.000272
0.583189,312,1408.335232
1.476644,420,1416.440819
1.211827,206,1420.614831
4.10353,444,1429.495213
0.423238,409,1437.620075
0.174305,234,1442.439951
1.575521,281,1448.074085
0.354342,322,1454.54393
0.009949,446,1463.219515
0.015877,100,1465.42953
0.118989,369,1472.730895
2.142477,480,1481.924184
1.639579,296,1487.750585
1.277838,379,1495.177559
5.041654,752,1509.499856
2.187133,1001,1528.457328
0.801405,275,1533.981325
1.050496,202,1537.977874
0.876372,255,1543.040227
1.146861,236,1547.806607
1.397662,199,1551.921945
1.268809,353,1558.809772
0.417791,165,1562.326274
0.967794,334,1569.009076
0.048971,149,1572.204811
0.815652,236,1576.90068
0.050272,109,1579.327197
0.464971,154,1582.647494
0.010446,277,1588.331735
0.115723,393,1595.94567
0.523345,314,1602.318296
0.042446,334,1609.033484
1.299553,264,1614.395157
0.257129,260,1619.702735
0.422428,136,1622.749617
0.686401,223,1627.296201
0.153908,490,1636.762265
0.13426,219,1641.317471
0.417975,344,1648.083484
0.398869,207,1652.782034
0.008946,202,1657.60469
0.011819,132,1660.903692
0.012503,112,1663.590715
0.311657,419,1672.898026
1.048187,320,1679.884629
0.010616,127,1682.843441
0.00978,140,1686.182892
0.009798,62,1687.885029
0.009845,126,1690.866017
0.271664,282,1697.135058
0.008351,72,1698.969814
0.009745,122,1701.947395
0.009765,250,1707.565275
0.008902,177,1711.807419
0.010516,106,1714.355933
0.008145,255,1720.003297
0.029397,120,1722.885807
0.007159,303,1729.639409
0.084022,157,1733.132395
0.008755,121,1735.777804
0.251835,713,1750.000274
0.011276,236,1755.314
0.007716,213,1760.255909
0.403382,214,1764.947277
2.441358,490,1775.821663
0.00751,583,1788.249057
0.00748,303,1794.699349
0.492471,186,1798.8232
0.008613,463,1808.47542
0.326001,226,1813.300631
0.324504,510,1823.921618
1.073776,500,1834.292658
1.129152,233,1839.320808
0.719066,351,1846.70204
2.530976,318,1853.742995
1.484467,612,1866.8482
2.504933,647,1880.362157
0.014152,286,1886.700262
3.183797,675,1900.947951
1.258005,222,1906.047085
1.206658,340,1913.724459
4.532875,517,1923.596842
0.10021,324,1929.651179
0.718734,218,1933.90025
0.596372,221,1938.795822
2.672685,506,1949.431511
1.807791,492,1959.52565
2.004296,261,1964.883445
1.122681,382,1972.074544
4.023766,1001,1990.978869
1.323723,419,2000.259933
0.095971,425,2008.399558
2.162833,166,2011.663804
2.098115,529,2021.807949
0.200195,346,2028.275283
1.699946,421,2036.169027
3.189986,234,2040.661842
1.523866,386,2047.843291
0.629679,390,2055.195389
1.72125,224,2059.615294
1.105026,258,2064.5362
0.000319,263,2069.56025
1.954839,263,2074.623168
2.123209,986,2095.351678
1.076576,201,2099.894074
0.373993,469,2109.741912
0.824676,799,2125.535914
0.189472,383,2133.554234
0.605644,441,2142.816826
0.273442,126,2145.698868
1.571272,482,2155.753718
1.432273,229,2160.728341
0.209418,450,2170.279511
2.702872,259,2175.937621
0.216935,135,2179.124345
0.680033,193,2183.376248
0.457661,198,2187.636123
0.210228,69,2189.176235
0.477589,128,2191.812651
3.101698,664,2203.711814
1.099141,306,2209.316106
0.074005,81,2211.069692
2.246765,230,2215.468383
2.840569,528,2225.042547
0.128857,48,2226.283857
1.492642,83,2228.170185
2.497509,159,2231.296279
0.662386,163,2234.565758
1.452732,191,2238.209374
0.055494,57,2239.600664
0.150157,53,2240.889686
0.098704,83,2242.754433
1.440412,174,2246.284215
0.094342,50,2247.538392
0.352628,158,2250.651713
0.809372,100,2252.738069
0.373015,64,2254.295638
1.119154,101,2256.461239
0.908155,457,2264.817751
2.815205,151,2267.852957
0.565748,438,2275.810242
0.386113,94,2277.784808
0.142615,60,2279.292959
1.85268,240,2284.085952
1.854316,238,2288.644002
1.474544,376,2295.930562
1.789274,450,2305.103519
0.785759,314,2311.978887
0.508748,218,2316.79499
1.87071,175,2320.686932
1.809141,337,2327.994093
1.498721,253,2333.155113
3.310878,560,2344.649422
1.468966,139,2347.770753
2.451491,209,2352.116418
1.420413,97,2354.307937
2.12776,333,2360.76265
2.416219,126,2363.551034
0.706622,88,2365.719778
0.689799,385,2373.522217
0.856135,157,2376.729851
0.147044,77,2378.543571
2.77333,156,2381.766741
0.560291,139,2384.636289
1.083771,90,2386.642562
1.568771,136,2389.494845
2.525574,224,2393.897154
0.719767,86,2395.772058
0.443251,405,2403.313598
1.725081,188,2406.944672
0.444885,102,2409.09217
2.501448,315,2414.980132
2.005464,133,2417.723023
1.30461,107,2419.976518
0.842085,106,2422.20491
0.558496,116,2424.678993
1.495167,101,2426.862441
0.904395,181,2430.450226
1.041723,293,2435.998516
0.808656,343,2442.424164
2.663079,250,2447.213795
1.234751,174,2450.702156
0.376132,147,2453.590426
0.887906,263,2458.584824
0.92006,87,2460.501296
0.116943,331,2466.811219
1.366085,150,2469.84849
2.667177,169,2473.297447
2.831208,250,2478.123287
1.207908,199,2482.17523
0.757678,219,2487.758685
2.356652,180,2494.461034
0.645994,297,2501.349191
2.325322,302,2507.56684
1.618863,178,2511.203614
0.758949,68,2512.947685
2.534541,286,2518.994696
1.834986,148,2522.046935
0.805806,86,2523.884882
0.342931,129,2526.473006
0.312121,64,2527.973051
0.361597,116,2530.63299
0.42457,99,2532.82664
0.863459,840,2548.022233
1.368886,243,2552.585836
1.478916,82,2554.377769
0.26118,138,2557.091307
2.493748,233,2561.519253
1.376627,106,2563.826748
0.551329,96,2565.89869
0.86314,93,2567.940896
0.949074,88,2569.855128
1.615954,476,2578.534444
1.428844,102,2580.852
1.407503,262,2586.22145
1.199957,162,2589.699635
0.949173,102,2592.03012
1.194153,99,2594.290993
0.63946,126,2597.132677
0.466734,236,2602.560329
2.164313,381,2611.188564
1.054884,452,2621.289477
1.588591,111,2624.09951
1.405796,118,2627.134682
1.588153,86,2629.45365
1.612681,127,2632.67005
1.521505,93,2635.04364
1.741831,192,2639.551326
1.600632,438,2649.341384
0.444229,105,2652.002823
1.431079,85,2654.212965
0.803924,88,2656.492121
1.394437,148,2660.13963
0.360295,62,2661.91582
1.11359,188,2666.56261
1.022994,122,2669.645578
2.959671,196,2674.308614
1.423117,138,2677.703325
1.63063,545,2689.934958
0.83467,336,2697.643742
1.703144,104,2700.242958
1.674376,133,2703.110399
1.387638,139,2705.935339
1.286578,161,2709.600807
1.730224,191,2713.586653
1.643295,89,2715.716781
0.69186,141,2718.670289
2.690462,152,2721.846746
1.622021,504,2731.02706
1.284412,113,2733.390946
1.451522,240,2738.357637
0.78406,96,2740.596402
0.812946,119,2743.347417
1.154897,153,2746.765401
1.339202,130,2749.73746
1.064225,326,2756.198098
1.775799,127,2759.047868
0.423767,208,2763.096868
1.609842,92,2765.07463
0.973945,153,2768.186653
1.620219,119,2770.670313
